,...1,ID,case_name,url,cite,dock_raw,docket,summary,jurisdiction,court,case_date,plt,plt_typ,def,def_typ,judge,outcome,outcome_notes,agy,location,statute,species,AIM,TON,OOC,cites,appeals,ej_count,ej_keywords,science,experts,dr_phd,deference,climate_count,climate_keywords,housing_count,housing_keywords,cercla_flag,further_notes,ton_mc1,ton_mc2,ooc_mc1,ooc_mc2,judge_clean,First_Name,Middle,Last_Name,Middle_Initial,n.x,nid,jid,Last.Name,First.Name,Middle.Name,Suffix,Birth.Month,Birth.Day,Birth.Year,Birth.City,Birth.State,Death.Month,Death.Day,Death.Year,Death.City,Death.State,Gender,Race.or.Ethnicity,Court.Type..1.,Court.Name..1.,Appointment.Title..1.,Appointing.President..1.,Party.of.Appointing.President..1.,Reappointing.President..1.,Party.of.Reappointing.President..1.,ABA.Rating..1.,Seat.ID..1.,Statute.Authorizing.New.Seat..1.,Recess.Appointment.Date..1.,Nomination.Date..1.,School..1.,Degree..1.,Degree.Year..1.,School..2.,Degree..2.,Degree.Year..2.,School..3.,Degree..3.,Degree.Year..3.,School..4.,Degree..4.,Degree.Year..4.,School..5.,Degree..5.,Degree.Year..5.,Professional.Career,Other.Nominations.Recess.Appointments,X,party.affiliation.of.president,president.name,court.type,court.name,state,nomination.date.senate.executive.journal,dime.cid,dime.cfscore,imputed.dime.cfscore,jcs.score.dw,jcs.cfscore.cf,pres.dw,pres.dime.cfscore,senscore.dw,senscore.dime.cfscore,state.delegation.dw,state.delegation.dime.cfscore,use.pres,both.sen.opp,unified,birth.year,gender,race.or.ethnicity,aba.rating,law.school,employment.text.field,exit.year,enter.year,jd.rank,degree.type,clerked.for.con,clerked.for.lib,nconts,jud.chair.dw,overimputed.dime.cfscore,court.name1,enter.year1,exit.year1,court.name2,enter.year2,exit.year2,court.name3,enter.year3,exit.year3,exit.yearr,exit.year1r,exit.year2r,circuit,circuit2,circuit3,Middle.Initial,n.y,first_dist,middle_dist,last_dist,total_dist,matched,magistrate,notes
342,2635,2009-2009-burley-001,Burley v. Burlington N. & Santa Fe Ry. Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:7XPV-J7D0-YB0N-J002-00000-00&context=1516831&sourcegroupingtype=G,2009 U.S. Dist. LEXIS 124556,CV-07-147-BLG-RFC-CSO%CV-08-30-BLG-RFC-CSO%CV-07-148-BLG-RFC-CSO,07-00147%08-00030%07-00148,none,U.S. Federal,"United States District Court for the District of Montana, Billings Division",12/18/09,dave burley%jeannie burley%diana & kenneth merideth%dana nelson,individual,burlington northern & santa fe railroad company,industry,carolyn s. ostby,plaintiff,none,none,montana,cercla,none,recover damages frmo defendants pollution,toxic waste disposal,contaminated property,0,yes,0,none,0,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Production,carolyn s. ostby,carolyn,s.,ostby,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
15,124,1987-1987-colora-001,Colorado v. Idarado Mining Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-CX80-003B-6037-00000-00&context=1516831&sourcegroupingtype=G,1987 U.S. Dist. LEXIS 14254,Civil Action No. 83-C-2385,83-02385,"Examination of the degree to which the two companies participated in mine operations showed that one company was an owner and an operator of the mine, and the other company was an operator of the mine.",U.S. Federal,United States District Court for the District of Colorado,4/29/87,state of colorado,state,idarado mining company,industry,carrigan,plaintiff,none,none,colorado,cercla,none,cleanup liability,other-environmental,mining site cleanup,7,yes,0,none,0,none,0,no,0,none,0,none,1,judge listed only includes last name,unknown,unknown,waste & pollution,Other mineral extraction,carrigan,NA,NA,NA,NA,1,1378886,385,carrigan,james,r., ,8,24,1929,Mobridge,SD,8,15,2014,Boulder,CO,Male,White,U.S. District Court,U.S. District Court for the District of Colorado,Judge,Jimmy Carter,Democratic,,,Qualified,COD0601,92 Stat. 1629,,6/1/79,University of North Dakota,Ph.B.,1953,University of North Dakota School of Law,J.D.,1953,New York University School of Law,LL.M.,1956,,,NA,,,NA,"Private practice, Williston, North Dakota, 1953-1954; Assistant professor of law, University of Denver, 1956-1959; Visiting associate professor, New York University School of Law, 1958; Visiting associate professor, Washington University School of Law, 1959-1960; Judicial administrator, State of Colorado, 1960-1961; Private practice, Denver, Colorado, 1961-1962; Professor of law, University of Colorado, 1961-1967; Private practice, Denver and Boulder, Colorado, 1967-1976; Justice, Colorado Supreme Court, 1976-1979; Arbitrator, Judicial Arbiter Group, Denver, Colorado, 1995-",,1703,Democratic,Jimmy Carter,USDC,"U. S. District Court, District of Colorado",CO,6/1/79,NA,NA,-0.882,-0.4395,-0.718,-0.521,-0.27,-0.4395,-0.718,-0.152,-0.276,0,0,0,1929,M,White,Qualified,University of North Dakota School of Law,"Private practice, Williston, North Dakota, 1953-1954<BR>Assistant professor of law, University of Denver, 1956-1959<BR>Visiting associate professor, New York University School of Law, 1958<BR>Visiting associate professor, Washington University School of Law, 1959-1960<BR>Judicial administrator, State of Colorado, 1960-1961<BR>Private practice, Denver, Colorado, 1961-1962<BR>Professor of law, University of Colorado, 1961-1967<BR>Private practice, Denver and Boulder, Colorado, 1967-1976<BR>Justice, Colorado Supreme Court, 1976-1979<BR>Arbitrator, Judicial Arbiter Group, Denver, Colorado, 1995-",1994,1979,6,Ph.B.,0,0,0,-0.451,NA,,NA,3000,,NA,3000,NA,NA,NA,1994,NA,NA,"U. S. District Court, District of Colorado",,NA,r,NA,NA,NA,NA,NA,1,0,
343,2640,1985-049b-united-001,United States v. Standard Metals Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-FJ00-0039-R2VF-00000-00&context=1516831&sourcegroupingtype=G,49 B.R. 623,Civil Action No. 81-C-489,81-00489,The government's demand for payment of the suspended penalty constituted the regulatory enforcement of a money judgment action excepted from the automatic bankruptcy stay.,U.S. Federal,United States District Court for the District of Colorado,5/23/85,united states of america,fed,standard metals corporation,industry,carrigan,mixed,none,none,colorado,cwa,none,collect fines from cwa violator,water%other-environmental,payment of cwa fines,14,no,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes%Anthropogenic,Freshwater%Other,legal & procedural,Legal,carrigan,NA,NA,NA,NA,1,1378886,385,carrigan,james,r., ,8,24,1929,Mobridge,SD,8,15,2014,Boulder,CO,Male,White,U.S. District Court,U.S. District Court for the District of Colorado,Judge,Jimmy Carter,Democratic,,,Qualified,COD0601,92 Stat. 1629,,6/1/79,University of North Dakota,Ph.B.,1953,University of North Dakota School of Law,J.D.,1953,New York University School of Law,LL.M.,1956,,,NA,,,NA,"Private practice, Williston, North Dakota, 1953-1954; Assistant professor of law, University of Denver, 1956-1959; Visiting associate professor, New York University School of Law, 1958; Visiting associate professor, Washington University School of Law, 1959-1960; Judicial administrator, State of Colorado, 1960-1961; Private practice, Denver, Colorado, 1961-1962; Professor of law, University of Colorado, 1961-1967; Private practice, Denver and Boulder, Colorado, 1967-1976; Justice, Colorado Supreme Court, 1976-1979; Arbitrator, Judicial Arbiter Group, Denver, Colorado, 1995-",,1703,Democratic,Jimmy Carter,USDC,"U. S. District Court, District of Colorado",CO,6/1/79,NA,NA,-0.882,-0.4395,-0.718,-0.521,-0.27,-0.4395,-0.718,-0.152,-0.276,0,0,0,1929,M,White,Qualified,University of North Dakota School of Law,"Private practice, Williston, North Dakota, 1953-1954<BR>Assistant professor of law, University of Denver, 1956-1959<BR>Visiting associate professor, New York University School of Law, 1958<BR>Visiting associate professor, Washington University School of Law, 1959-1960<BR>Judicial administrator, State of Colorado, 1960-1961<BR>Private practice, Denver, Colorado, 1961-1962<BR>Professor of law, University of Colorado, 1961-1967<BR>Private practice, Denver and Boulder, Colorado, 1967-1976<BR>Justice, Colorado Supreme Court, 1976-1979<BR>Arbitrator, Judicial Arbiter Group, Denver, Colorado, 1995-",1994,1979,6,Ph.B.,0,0,0,-0.451,NA,,NA,3000,,NA,3000,NA,NA,NA,1994,NA,NA,"U. S. District Court, District of Colorado",,NA,r,NA,NA,NA,NA,NA,1,0,
262,2071,2017-2017-united-062,United States v. Archibald,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5NDG-FWB1-F04D-W055-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 63392,Action No. 2:15-cr-0134,15-00134,"The motion to suppress was denied because defendant’s Fourth Amendment rights were not violated when the informant entered the vessel, took the photos of the firearm thereon, and provided the photos to the Government since the informant undertook the search on his own initiative.",U.S. Federal,United States District Court for the District of New Jersey,4/17/17,united states,fed,daniel archibald,individual,cathy l. waldor,plaintiff,none,none,new jersey,mmpa,pilot whale,defend evidence,charismatic fuana,pilot whale,0,no,0,none,0,none,1,no,0,none,0,none,0,none,unknown,unknown,conservation,Flora/Fauna/Ecosystems,cathy l. waldor,cathy,l.,waldor,l,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
614,5032,2017-2017-n.j.dx-001,N.J. Dep't of Envtl. Prot. v. Am. Thermoplastics Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5MTP-Y741-F04D-W00W-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 16743,Civil Action Nos. 98-CV-4781 (WHW) (CLW),98-04781,none,U.S. Federal,United States District Court for the District of New Jersey,2/7/17,"compaction systems corporation%compaction systems corporation of connecticut, inc.",industry,"warner lambert company, inc.",industry,cathy l. waldor,defendant,none,none,new jersey,cercla,none,disallow further discovery,toxic waste disposal,landfill cleanup,4,yes,0,none,2,none,0,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Waste Management,cathy l. waldor,cathy,l.,waldor,l,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
437,3437,1997-0964-willia-001,Williams Pipe Line Co. v. Bayer Corp.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-CHW0-00B1-F236-00000-00&context=1516831&sourcegroupingtype=G,964 F. Supp. 1300,CIVIL NO. 4-95-CV-20158,95-20158,"Department of Natural Resources was diligently prosecuting action under state law that was comparable to the Clear Water Act, and the court did not have jurisdiction over the owner of contaminated property's citizen suit claim.",U.S. Federal,"United States District Court for the Southern District of Iowa, Central Division",4/14/97,williams pipe line company,industry,bayer corporation,industry,celeste f. bremer,defendant,none,none,iowa,cwa%rcra,none,recover costs,groundwater%swamp,petroleum storage leaks,43,no,0,none,19,none,6,no,0,none,0,none,0,none,Landscapes,Freshwater,waste & pollution,Production/Transmission/Use,celeste f. bremer,celeste,f.,bremer,f,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
291,2274,1996-0935-sierra-001,Sierra Club v. United States Army Corps of Eng'rs,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4N-D5K0-006F-P4GS-00000-00&context=1516831&sourcegroupingtype=G,935 F. Supp. 1556,CIVIL ACTION NO. 96-0672-CB-M,96-00672,The environmental groups seeking an injunction to void a wetlands permit failed to carry their burden of establishing that the resulting permitting decision was arbitrary or capricious.,U.S. Federal,"United States District Court for the Southern District of Alabama, Southern Division",8/27/96,sierra club%mobile bay audubon society%native forest network,ngo,army corps of engineers%william s. vogel%city of mobile,fed%local,"charles  r. butler, jr.",defendant,none,acoe,alabama,nepa%fwca%cwa,none,void permit,wetland,wetlands fill permit,42,no,0,none,5,"dr. george f. crozier, none, marine environmental sciences consortium%dr. barry vittor,  none, none%john bell, none, none%clifton lambert, none, none",24,no,0,none,0,none,0,none,Landscapes,Freshwater,conservation,Flora/Fauna/Ecosystems,charles  r. butler,charles,,r. butler,NA,1,1378636,334,butler,charles,randolph,Jr.,NA,NA,1940,New York,NY,NA,NA,NA, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Alabama,Judge,Ronald Reagan,Republican,,,Well Qualified,ALSD0303, ,,4/28/88,Washington and Lee University School of Law,, ,Washington and Lee University,B.A.,1962,University of Alabama School of Law,LL.B.,1966,,,NA,,,NA,"U.S. Army lieutenant, 8th Artillery, 7th Howitzer Battalion, 1962-1964; Private practice, Mobile, Alabama, 1966-1969, 1975-1988; Assistant public defender, Mobile County, Alabama, 1969-1970; District attorney, Mobile County, Alabama, 1971-1975; Member, Judicial Conference of the United States, 1999-2003",,1244,Republican,Ronald Reagan,USDC,"U. S. District Court, Southern District of Alabama",AL,4/28/88,3094067319,NA,1.089,0.475,1.058,0.69,0.98,0.475,1.058,0.078,0.384,0,0,0,1940,M,White,Well Qualified,University of Alabama School of Law,"U.S. Army lieutenant, 8th Artillery, 7th Howitzer Battalion, 1962-1964<BR>Private practice, Mobile, Alabama, 1966-1969, 1975-1988<BR>Assistant public defender, Mobile County, Alabama, 1969-1970<BR>District attorney, Mobile County, Alabama, 1971-1975",2005,1988,3,B.A.,0,0,0,-0.318,NA,,NA,3000,,NA,3000,NA,NA,NA,2005,NA,NA,"U. S. District Court, Southern District of Alabama",,NA,r,NA,NA,NA,NA,NA,1,0,
243,1876,2018-0329-voigtx-001,"Voigt v. Coyote Creek Mining Co., LLC",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5SPP-PV21-JFKM-637H-00000-00&context=1516831&sourcegroupingtype=G,329 F. Supp. 3d 735,Case No. 1:15-cv-00109,15-00109,none,U.S. Federal,United States District Court for the District of North Dakota,7/3/18,casey voigt%julie voigt,individual,"coyote creek mining company, llc",industry,charles s. miller jr.,defendant,none,none,north dakota,caa%smcra,none,stop construction,mine,mine construction,0,yes,0,none,2,none,24,yes,0,none,0,none,0,none,EMR,Industrial/Materials,energy & mineral resources,Other mineral extraction,charles s. miller,charles,s.,miller,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
332,2574,2012-2012-dacota-001,Dacotah Chapter of Sierra Club v. Salazar,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:56F7-0XM1-F04D-S045-00000-00&context=1516831&sourcegroupingtype=G,2012 U.S. Dist. LEXIS 120972,Case No. 1:12-cv-065,12-00065,none,U.S. Federal,"United States District Court for the District of North Dakota, Southwestern Division",8/27/12,dacotah chapter of sierra club%dakota resource council,ngo,ken salazar%u.s. department of the interior%north dakota public service commission,fed%state,"charles s. miller, jr.",defendant,none,none,north dakota,smcra,none,force departmental action,mineral resources,coal mining regulation,1,no,0,none,0,none,0,no,0,none,0,none,0,none,EMR,Industrial/Materials,energy & mineral resources,Fossil Fuel Extraction,charles s. miller,charles,s.,miller,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
354,2779,2016-2016-voigtx-001,"Voigt v. Coyote Creek Mining Co., LLC",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5K7P-27J1-F04D-S01H-00000-00&context=1516831&sourcegroupingtype=G,2016 U.S. Dist. LEXIS 92162,Case No. 1:15-cv-00109,15-00109,none,U.S. Federal,United States District Court for the District of North Dakota,7/15/16,casey voight%julie voight,individual,"coyote creek mining company, llc",industry,"charles s. miller, jr.",plaintiff,only decision on amended complain,none,north dakota%indiana,caa%smcra,none,stop coal mine,clean air,amendment of complaint re: permitting,4,yes,0,none,3,none,2,no,0,none,0,none,0,none,Atmosphere,Atmosphere,legal & procedural,Legal,charles s. miller,charles,s.,miller,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
540,4234,2010-2010-kartch-001,"Kartch v. EOG Res., Inc.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:51CS-4G41-652J-6001-00000-00&context=1516831&sourcegroupingtype=G,2010 U.S. Dist. LEXIS 116794,Case No. 4:10-cv-014,10-00014,none,U.S. Federal,"United States District Court for the District of North Dakota, Northwestern Division",10/22/10,frankie kartch%kristin kartch,individual,eog resources,industry,"charles s. miller, jr.",plaintiff,none,none,north dakota,cwa,none,stop surface drilling,surface drilling%minerals,mineral rights,3,no,0,none,0,none,0,no,0,none,0,none,0,none,EMR,Industrial/Materials,energy & mineral resources,Other mineral extraction,charles s. miller,charles,s.,miller,s,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
306,2388,2017-2017-united-064,United States v. New York Racing Ass'n,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5MTM-HV71-F04F-0066-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 16621,16 CV 5442 (LDH) (CLP),16-05442,none,U.S. Federal,United States District Court for the Eastern District of New York,2/3/17,united states,fed,new york racing association inc,industry,cheryl l. pollak,plaintiff,none,none,new york,cwa,none,stop pollution,basin%bay,consent decree,0,yes,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes,Freshwater,legal & procedural,Cost and Liability%Legal,cheryl l. pollak,cheryl,l.,pollak,l,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
320,2455,2012-2012-newyox-001,New York Cmtys. for Change v. New York City Dep't of Educ.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5830-CHW1-F04F-01F0-00000-00&context=1516831&sourcegroupingtype=G,2012 U.S. Dist. LEXIS 187437,11 CV 3494 (SJ),11-03494,none,U.S. Federal,United States District Court for the Eastern District of New York,8/29/12,new york communities for change,ngo_o,new york city department of education%new york city construction authority,local,cheryl l. pollak,plaintiff,none,none,new york,rcra%tsca%cwa,none,stop pollution,clean air,hazardous light fixtures,9,yes,0,none,0,none,0,no,0,none,0,none,0,none,Atmosphere,Atmosphere,waste & pollution,Production,cheryl l. pollak,cheryl,l.,pollak,l,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
486,3840,1956-0147-inre x-001,In re Green River Drainage Area,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4V-R0N0-003B-23F8-00000-00&context=1516831&sourcegroupingtype=G,147 F. Supp. 127,No. C-7-56,yy-00056,none,U.S. Federal,"United States District Court for the District of Utah, Central Division",12/7/56,state of utah state engineer,state,united states of america%bureau of land management%united states forest service%department of interior%bureau of reclamation,fed,christenson,plaintiff,proceeding should be remanded to the district court of the third judicial district of the state of utah in and for daggett county,blm%fs%bor,utah,rcra%fpa,none,determine water rights,water,green river above the confluence of pot creek,17,no,0,none,1,none,0,no,0,none,0,none,0,none,Landscapes,Freshwater,waste & pollution,Flora/Fauna/Ecosystems,christenson,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,cannot find judge with just last name
520,4133,2017-2017-newyox-004,New York v. GE Co.,https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5N7F-1VW1-F04F-03PT-00000-00&context=1516831&sourcegroupingtype=G,2017 U.S. Dist. LEXIS 50026,No. 1:14-CV-747 (CFH),14-00747,none,U.S. Federal,United States District Court for the Northern District of New York,3/31/17,state of new york%the new york state department of environmental conservation,state,general electric company,industry,christian f. hummel,defendant,none,none,new york,cercla%tsca,none,recover costs,toxic waste/pollution,hazardous substances released at 51 and 53 luzerne road,7,no,0,none,2,"dr. richard t. dewling, none, acting regional administratior to epa",6,no,0,none,0,none,1,none,Anthropogenic,Hazardous Substance,waste & pollution,Production,christian f. hummel,christian,f.,hummel,f,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
179,1408,2004-2004-giauqu-001,"Giauque v. Clean Harbors Plaquemine, L.L.C.",https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4K7P-5D40-TVV9-J1VJ-00000-00&context=1516831&sourcegroupingtype=G,2004 U.S. Dist. LEXIS 29797,Case No. 04-CR-04,04-00004,none,U.S. Federal,United States District Court for the Middle District of Louisiana,3/25/04,terry giauque,individual,"clean harbors plaquemine, llc",industry,christine noland,plaintiff,none,none,louisiana,cwa,none,seek damages,groundwater,bayou,3,yes,0,none,0,none,0,no,0,none,0,none,0,none,Landscapes,Freshwater,conservation,Flora/Fauna/Ecosystems,christine noland,christine,,noland,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
